tau	k	score	method	timestamp	file
0.25	50	2373	focus+ant+2exch,150s	2026-08-13T04:54:15	placements/tau0.25_k50_s2373_1786586055.txt
0.25	500	10462	focus+ant+2exch,150s	2026-08-13T04:54:15	placements/tau0.25_k500_s10462_1786586055.txt
0.25	1000	12802	focus+ant+2exch,150s	2026-08-13T04:54:17	placements/tau0.25_k1000_s12802_1786586057.txt
0.5	50	848	focus+ant+2exch,150s	2026-08-13T04:54:17	placements/tau0.5_k50_s848_1786586057.txt
0.5	500	6080	focus+ant+2exch,150s	2026-08-13T04:54:18	placements/tau0.5_k500_s6080_1786586058.txt
0.5	1000	10117	focus+ant+2exch,150s	2026-08-13T04:54:19	placements/tau0.5_k1000_s10117_1786586059.txt
0.75	50	377	focus+ant+2exch,150s	2026-08-13T04:54:19	placements/tau0.75_k50_s377_1786586059.txt
0.75	500	2863	focus+ant+2exch,150s	2026-08-13T04:54:20	placements/tau0.75_k500_s2863_1786586060.txt
0.75	1000	5391	focus+ant+2exch,150s	2026-08-13T04:54:22	placements/tau0.75_k1000_s5391_1786586062.txt
0.75	50	49	selfcover-DELIBERATELY-WEAK	2026-08-13T04:55:06	placements/tau0.75_k50_s49_1786586106.txt
0.75	50	376	focus+lns,p3.0,ant,lns60s,swap	2026-08-13T05:14:56	placements/tau0.75_k50_s376_1786587296.txt
0.75	500	2847	focus+lns,p2.0,ant,lns60s,swap	2026-08-13T05:16:04	placements/tau0.75_k500_s2847_1786587364.txt
0.5	500	6031	focus+lns,p3.0,ant,lns60s,swap	2026-08-13T05:17:13	placements/tau0.5_k500_s6031_1786587433.txt
0.75	50	393	focus+lns,p3.0,metre,lns60s,swap	2026-08-13T05:18:27	placements/tau0.75_k50_s393_1786587507.txt
0.75	500	2874	focus+lns,p2.0,ant,lns60s,swap	2026-08-13T05:19:44	placements/tau0.75_k500_s2874_1786587584.txt
0.5	500	6105	focus+lns,p4.0,ant,lns60s,swap	2026-08-13T05:21:03	placements/tau0.5_k500_s6105_1786587663.txt
0.75	50	384	focus+lns,p3.0,metre,lns60s,swap	2026-08-13T05:22:36	placements/tau0.75_k50_s384_1786587756.txt
0.75	500	2893	focus+lns,p2.0,ant,lns60s,swap	2026-08-13T05:24:14	placements/tau0.75_k500_s2893_1786587854.txt
0.5	500	6073	focus+lns,p4.0,ant,lns60s,swap	2026-08-13T05:25:51	placements/tau0.5_k500_s6073_1786587951.txt
0.25	50	2426	focus+lns,p8.0,metre,lns150s,swap	2026-08-13T05:31:53	placements/tau0.25_k50_s2426_1786588313.txt
0.25	500	10581	focus+lns,p6.0,metre,lns150s,swap	2026-08-13T05:34:32	placements/tau0.25_k500_s10581_1786588472.txt
0.25	1000	12809	focus+lns,p8.0,metre,lns150s,swap	2026-08-13T05:37:16	placements/tau0.25_k1000_s12809_1786588636.txt
0.75	50	384	focus+lns,p3.0,metre,lns60s,swap	2026-08-13T05:37:33	placements/tau0.75_k50_s384_1786588653.txt
0.75	50	379	beam+lns,p3.0,metre,lns60s,swap	2026-08-13T05:39:23	placements/tau0.75_k50_s379_1786588763.txt
0.5	50	868	focus+lns,p8.0,metre,lns150s,swap	2026-08-13T05:39:48	placements/tau0.5_k50_s868_1786588788.txt
0.75	50	381	beam+lns,p3.0,metre,lns60s,swap	2026-08-13T05:41:47	placements/tau0.75_k50_s381_1786588907.txt
0.5	500	6148	focus+lns,p4.0,ant,lns150s,swap	2026-08-13T05:42:24	placements/tau0.5_k500_s6148_1786588944.txt
0.5	50	868	focus+lns,p8.0,metre,lns60s,swap	2026-08-13T05:43:03	placements/tau0.5_k50_s868_1786588983.txt
0.5	50	861	beam+lns,p8.0,metre,lns60s,swap	2026-08-13T05:44:54	placements/tau0.5_k50_s861_1786589094.txt
0.5	1000	10161	focus+lns,p2.5,ant,lns150s,swap	2026-08-13T05:45:11	placements/tau0.5_k1000_s10161_1786589111.txt
0.5	50	861	beam+lns,p8.0,metre,lns60s,swap	2026-08-13T05:47:24	placements/tau0.5_k50_s861_1786589244.txt
0.75	50	392	focus+lns,p3.0,metre,lns150s,swap	2026-08-13T05:47:43	placements/tau0.75_k50_s392_1786589263.txt
0.75	500	2868	focus+lns,p2.0,ant,lns60s,swap	2026-08-13T05:48:44	placements/tau0.75_k500_s2868_1786589324.txt
0.75	500	2924	focus+lns,p2.0,ant,lns150s,swap	2026-08-13T05:50:18	placements/tau0.75_k500_s2924_1786589418.txt
0.75	1000	5534	focus+lns,p1.5,ant,lns150s,swap	2026-08-13T05:52:58	placements/tau0.75_k1000_s5534_1786589578.txt
